=== Fisher Island 7900 Flat Roofs ===
Info Required,Perkins response,source-note
Project name,Fisher Island 7900 Flat Roofs,prefilled
Project city,Fisher Island,prefilled
Property type,Residential,prefilled
Project completion date,21 May 2025,prefilled
Project Manager,,NEEDS HUMAN
Project Duration or start date,20 Feb 2024,prefilled
Roof size,,NEEDS HUMAN
Number of buildings,,NEEDS HUMAN
Original roof type,,NEEDS HUMAN
New roof type,Flat/Built-Up,prefilled
Roof Manufacturer,,NEEDS HUMAN
Product or system,,NEEDS HUMAN
Reason for project,,NEEDS HUMAN
Additional Services included,,NEEDS HUMAN
Whether building remained occupied,,NEEDS HUMAN
Safety or access requirements,,NEEDS HUMAN
Project Outcome,,NEEDS HUMAN
Warranty provided,,NEEDS HUMAN
Client on maintenance program,,NEEDS HUMAN
Project challenges,,NEEDS HUMAN
Other contractors involved,,NEEDS HUMAN
HVHZ and / or permit requirements / inpections required during  / after completion,,NEEDS HUMAN
Final result,,NEEDS HUMAN
Client feedback,,NEEDS HUMAN
Link to Photos on CompanyCam ,https://app.companycam.com/projects/60249175/photos,prefilled
Link to Video on YouTube,https://www.youtube.com/watch?v=bPyTl6vIjvk,prefilled
Any other comments that are relevant and can be used in the write up of the project,,NEEDS HUMAN
Permission to name property,,NEEDS HUMAN
Permission to use photos,,NEEDS HUMAN
Permission to use video,,NEEDS HUMAN

=== Fisher Island Building 77 Soffit Work ===
Info Required,Perkins response,source-note
Project name,Fisher Island Building 77 Soffit Work,prefilled
Project city,Fisher Island,prefilled
Property type,Residential,prefilled
Project completion date,17 Jul 2026,prefilled
Project Manager,,NEEDS HUMAN
Project Duration or start date,11 May 2026,prefilled
Roof size,,NEEDS HUMAN
Number of buildings,,NEEDS HUMAN
Original roof type,,NEEDS HUMAN
New roof type,Soffit,prefilled
Roof Manufacturer,,NEEDS HUMAN
Product or system,,NEEDS HUMAN
Reason for project,,NEEDS HUMAN
Additional Services included,,NEEDS HUMAN
Whether building remained occupied,,NEEDS HUMAN
Safety or access requirements,,NEEDS HUMAN
Project Outcome,,NEEDS HUMAN
Warranty provided,,NEEDS HUMAN
